Country,Log_Return_Large,Log_Return_Small,Cluster
Austria,0.00011479860142378673,0.00032723285742828625,1
Belgium,0.00016364676211189254,0.000161628663261876,1
Denmark,0.00031496286094852304,0.0002965810210537671,1
Finland,0.0001886869063871988,0.0002638612658270339,1
France,0.00015308031738324294,0.0001491741127101122,1
Germany,7.867362391479407e-05,0.00016256702338999433,1
Greece,-0.00025745951695767375,-4.666451226592394e-05,0
Ireland,0.0004054823302281708,-0.00018744811090656613,2
Italy,-5.4604800505059735e-05,0.00021358505225583477,1
Netherlands,0.00039557634736544253,0.00013314154921490603,1
Norway,0.00024928249320823107,0.0002882676080278098,1
Poland,-9.345831307651206e-05,0.00015056712214353958,0
Portugal,-8.488326786911314e-06,-0.0002457012541015217,0
Spain,0.00023145564067613016,3.854796395259e-05,1
Sweden,0.00028122107763803154,0.00042708177842857437,1
Switzerland,0.00018059098604637845,0.00025972787145393263,1
United Kingdom,3.504944762775448e-05,0.000240649466221982,1
