Country;2011-09;2011-12;2012-03;2012-06;2012-09;2012-12;2013-03;2013-06;2013-09;2013-12;2014-03;2014-06;2014-09;2014-12;2015-03;2015-06;2015-09;2015-12;2016-03;2016-06;2016-09;2016-12;2017-03;2017-06;2017-09;2017-12;2018-03;2018-06;2018-09;2018-12;2019-03;2019-06;2019-09;2019-12;2020-03;2020-06;2020-09;2020-12;2021-03;2021-06;2021-09;2021-12;2022-03;2022-06;2022-09;2022-12;2023-03;2023-06;2023-09;2023-12;2024-03;2024-06;2024-09
Belgium;1.1;0.7;0;-0.9;0.7;-0.5;-1.6;2.6;1.6;1.1;2.3;0.9;2.7;1.6;1.1;1.9;0.5;1.4;0.5;2.4;0.7;1.5;2.5;0.9;-0.2;3.2;1.7;2;1.8;3.7;1.7;2.4;3.2;2.2;-10;-37;54.5;-1.8;6.5;6.3;8;3.8;2.8;5.3;3.1;1;0.7;0.5;0.2;1.1;1.3;1.1;1.3
Denmark;-5.1;3.1;-1;-0.1;0.7;0;2.9;0.7;3.4;0.1;0;0.3;6;-0.3;3;2.6;0.6;1.1;5;4.4;3.3;2.1;3.9;4.9;-0.9;3.1;3.3;-0.1;2.2;0.6;1.6;3.7;1.3;1.4;-3.3;-21.7;26.4;0.2;3.5;17.4;9.1;12;-9.9;-0.3;1.4;-2.5;7.5;0.2;3.7;8;-2.8;5.5;5.1
Germany;2.2;0;0.9;0.4;0.9;-1.3;-2.2;4.9;2;0.5;4.2;0.1;2.1;3;-0.9;2.5;1.9;1.9;3.9;1.3;1.2;1.6;4.9;3.5;2.8;3.9;-1.9;2.9;-2.9;2.5;2.3;0.3;1.1;-0.2;-8.5;-31.1;39.6;4.6;-4.4;10.6;0.2;2.5;0.7;-0.1;2.4;-2;0.6;-0.6;0.8;-1.5;0.9;-1.1;0.4
Ireland;-5.8;2.3;-7.5;9.9;-5.8;2.2;-2.2;9.7;14.7;-1.7;16.5;12.1;5.2;0.4;111.8;-7.9;9.6;6.3;-12.3;3;3.2;44.2;-2.8;1.6;23.7;14.7;1.3;4.1;3.8;5;5.2;6.1;5.3;8.8;15.2;-23.9;57;-10.7;45.9;13.4;10;-2.5;15.1;10.6;11.8;0.1;-20.3;-4.1;-7.6;-6.6;2.3;-4.1;8.3
Greece;-8.1;-17.3;0;-7.2;-6;-3.3;-3.5;0.1;0.7;2.2;-0.8;-0.2;4.2;-3.8;2.3;-0.4;-7.5;7.8;-4.1;-0.8;1.2;2.8;-0.4;1.5;4.1;-3.9;6;1;-1;2.9;3.2;4.3;-2;-0.2;-8.2;-44.6;25.2;14.2;15.3;4.9;13.6;3.4;9.3;1.3;2.3;4.6;0;3.4;0.4;1.5;3;4.4;0
Spain;-2.4;-2.2;-3.7;-3.8;-1.8;-3.3;-1.1;-0.4;-0.3;0.8;1.5;2.2;3.2;3.9;5;4.6;3.7;3.6;2.8;1.3;3.2;2.3;2.9;4.2;2.5;2.5;1.7;2.6;2.3;2.4;2.5;1.2;0.8;2.3;-19.2;-54.3;80.5;2.9;4.9;5.6;8.1;8.4;5.5;7.1;3.5;2.3;2.7;1;2.7;3;3.8;3.3;3.4
France;1.4;1.2;0.1;-1.7;0.9;0;0.3;3.6;-0.1;2.9;-0.4;0.6;2.4;-0.8;2.3;0.2;1.1;0.9;1.6;-1;0.5;2.1;2.8;3.6;3;2.5;-0.3;0.9;2;3.2;3.4;2.4;0.1;-2.1;-18.9;-40.9;78.7;-0.4;1.5;5.3;11.8;2.4;-0.6;1.9;1.9;0.4;0.2;2.7;0.2;1.8;0.8;0.7;1.6
Italy;-1.7;-3.8;-4.5;-3;-2.7;-2.8;-3.6;0;1.3;-0.3;-0.2;0.2;0.1;-0.4;1.4;1.6;0.2;2.1;0.7;1.1;2.9;1.5;1.8;1.6;0.7;2.4;-0.7;0.8;0;1.2;0.9;1.1;-1.5;-1.5;-21.3;-40.9;71.3;-0.2;6.6;9.9;13.2;3.8;2;6.4;2.3;-0.9;1.4;-0.8;0.9;-0.1;1.3;0.7;0
Netherlands;-0.6;-2.1;-0.4;-0.2;-1.9;-2.2;-0.2;1.7;2;2.4;0.9;1.3;-0.1;5.5;1.6;1.7;1.9;0.9;2.6;3.1;3.6;3.3;2.4;2.1;3.1;2.6;2.8;1.8;1.1;1.2;4.9;1.8;1.9;0.4;-4.5;-29.4;29;1.7;3.5;16.6;7.8;0.7;3.9;11;-0.1;-0.5;-0.6;-0.8;-1.7;0.8;-1;4.4;3.3
Austria;2.4;1.3;1.3;-0.8;0.6;-2.2;-1;0.9;1.2;0.7;-0.2;2.1;0.7;2.1;-0.5;2.5;1.3;2.2;4;0.3;2.2;1.9;4.2;1.6;2.3;2.2;1.7;3.5;2;4;3.3;-1.3;0.8;-1.4;-8.3;-40;54.7;-5.2;-5.8;19.8;15.3;0.1;1.1;11.8;-0.3;-0.1;-2.5;-1.6;-3.1;-2.1;0.8;-0.2;1.1
